,date,text
0,27-07-2022,"At 6:45pm PT on @seanhannity, @TheLeoTerrell and I discuss: 

Boy, 16, who battered NYPD cop in subway station, freed less than 24 hours later asks judge if HE can press charges—after Mayor said cases like his are making the Big Apple a 'laughing stock'

https://t.co/rkrOcA0xVA"
2,27-07-2022,Pelosi's husband dumps Nvidia stock as House eyes chip bill - Reuters https://t.co/Ib3vYbhYMT
3,27-07-2022,"Embark Technology eyes road to recovery in under-addressed opportunities - Seeking Alpha 📈BUY EMBK📈You can’t get into a Solid autonomous trucking firm at a Lower Entry Point, as with any stock there are risks📈But in my opinion, EMBK is a long term Gem📈 https://t.co/OHCqfe7iWo"
4,27-07-2022,"@DannyMullun Yeah, it’s hard to bet against Apple but I wouldn’t be buying stock of it within this environment. I don’t see how they can continue their growth with the economy like it is. 

If weakness doesn’t show this quarter it’s likely to begin Q3. 

Apple mid 2023 @ discounts IMO."
5,27-07-2022,I still find it hilarious that Apple single-handedly wiped 120% off Facebook's stock price. 😂
6,27-07-2022,"Looks like bulls are about to be played. Bad earnings releases, FOMC minutes = buy buy buy. What happens when the largest retail stock misses ($AAPL)? …"
7,27-07-2022,#toprintoo: Apple Inc (AAPL) stock rose by 3.4235%! Currently priced at 156.79. https://t.co/Y720oauIN2
8,27-07-2022,"RT @savitz: Troubles are mounting for @Meta - soft ad budgets, competition from TikTok, ongoing trouble from the @Apple iOS privacy changes…"
9,27-07-2022,@LadyLibertas76 @ChaddingtonSC Buying Apple Stock
10,27-07-2022,"RT @InnsCrossMarket: We will soon be into apple season again and Autumn Harvest will have 
a plentiful selection of locally grown apples fr…"
11,27-07-2022,"CNBC - Stock futures fall slightly after big Fed rally, Meta shares decline @CNBC https://t.co/IZYZuwkcse"
12,27-07-2022,"Yep. Facebook has long since been in decline, Apple’s privacy changes sealed its fate. And Instagram looks like shit nowadays. No idea if Zuck can pull off the Metaverse but not a stock I have or will ever own. https://t.co/oeQDu8zSIV"
28,27-07-2022,"Qualcomm’s Q3 guidance falls short : the stock is dropping after hours despite better than expected Q2 figures.
 https://t.co/DAy7CDU1dQ"
13,27-07-2022,"@hopium4cope @Icarus39832944 @B0SSH066 @unusual_whales META already bombed Stock futures fall slightly after big Fed rally, Meta shares decline https://t.co/fuBVmG5Fb9"
15,27-07-2022,Pelosi's husband dumps Nvidia stock as House eyes chip bill - Reuters https://t.co/1ncgc4qp3g
16,27-07-2022,"Stock: $AAPL - Apple Inc.
*** NEWS ***
Apple signs Lamborghini exec to accelerate EV efforts - Bloomberg (NASDAQ:AAPL) - Seeking Alpha
https://t.co/VCqhtX7rQ6
Try now the Best Pivot Point Calculator!! https://t.co/b6QpiDd9fS
#tradingview
#stocks
#stockstowatch https://t.co/VVMDe3jytX"
17,27-07-2022,"AAPL Stock: Apple Earnings For Fiscal Third Quarter 2022

 #AAPL #Apple #Earnings #Fiscal #Quarter #Stock https://t.co/XQsjvDeFZe"
18,27-07-2022,"#Apple $AAPL Last 36 months Daily #StockMovement Line #Chart
Max downward movement was -12.86%
Max upward movement was 11.98%
Stock majorly moved between -1.78% and 2.1%
Start #investing in #GlobalStocks at https://t.co/peLniHQjpl 
#Investor https://t.co/vrxGO3tqRX"
19,27-07-2022,"Three Stock Lunch: Alphabet, Meta and Apple - CNBC https://t.co/0EVOXxY2uU"
20,27-07-2022,Apple Inc. stock outperforms competitors despite losses on the day - MarketWatch https://t.co/xT6Ap2CMFQ
21,27-07-2022,@ToivoTrades1 @dead_eye_si I don’t even own this stock… y’all say the same thing about everything… msft.. dumpster fire… apple.. garbage… no credibility anymore!
22,27-07-2022,@_KaranGoel @clockology It just behaves like any other stock apple watch face: it shrinks a bit in size and is being dimmed
23,27-07-2022,"RT @0xsumit: CubeX is not only NFT but a STOCK like Apple for future.👇 Trust the process. 
@cubexnft @TFGmykL 
#INCUBEXWETRUST #NFT #NFTCom…"
24,27-07-2022,"RT @Multi_Streaming: Dow jumps 370 points, Nasdaq jumps more than 3% as Powell says Fed could slow pace of rate hikes @CNBC https://t.co/51…"
25,27-07-2022,@ChaddingtonSC Buying Apple stock
26,27-07-2022,"#Earnings Tomorrow-P8
$WEX $WFRD $WING $WST $WTBA $WTW $XEL $ADVOF $ARR $CLST $CVLY $EFBI $GBOOY $HNNMY $HSBI $HTBK $ISTR $KCDMY $KSHB $KYSEY $LCNB $LYLT $MCBC $MOFG $NXGPY $OPBK $OTTW $PCB $QBIO $SAFE $SCSG $SGMA $SLRK $SRCO 
Free stocks app https://t.co/S59zN18Con"
1,27-07-2022,@ChaddingtonSC Buying Apple stock. Hitting my folks up for the funds.
27,27-07-2022,"RT @AbhipraGroup: #Apple $AAPL Last 6 months Daily #StockMovement Histogram #Chart
Max downward movement was -5.64%
Max upward movement was…"
